package_name,binary_name,version,os,arch,package_sha1,package_sha256,binary_sha1,binary_sha256
rclone-v1.62.1-linux-arm64.rpm,rclone,v1.62.1,linux,arm64,0b6835f1ad492c3a360560ab2ec9d3a993fc9482,47ebf0df8afd0a6c51d8f213169f8e9b214514f0f2a615188ffdf534f9c8968a,4d21bc467bfe106daff3a249cda53f8874448e68,d82cf696a4b900ebd15f3f31261e092ae2546e8fc5cbda3dac5dc580b00e9dee
rclone-v1.62.1-linux-arm64.zip,rclone,v1.62.1,linux,arm64,9fea4a6c0550c3b2897d8ad648618fb7df8d01ba,9847ecb1315ea779736dc3fbf00edeb3a9c42613200bd538092c4b0987d90f35,4d21bc467bfe106daff3a249cda53f8874448e68,d82cf696a4b900ebd15f3f31261e092ae2546e8fc5cbda3dac5dc580b00e9dee
rclone-v1.62.1-linux-mips.deb,rclone,v1.62.1,linux,mips,aa9bdcad45f9522d0bd164962d42e6fb2ebc384f,8d212e6de4c0cabd27572d0bf82784e470cc7732e7f8c866e7938a8132e1a768,e9f8932aa1e1f5a015c54c9b0d12dc66f11686e2,31de3e8e507f553df7b44fee279e977477a08a8bb8b08d491668310085e1a92e
rclone-v1.62.1-linux-mips.rpm,rclone,v1.62.1,linux,mips,df09e508f377006a463ca6333b5d0bcc9dc0340f,e69868c907f4f9eadc4d550bb98318654e03202eeaa9ceb2ef86adaf4ae1f37e,e9f8932aa1e1f5a015c54c9b0d12dc66f11686e2,31de3e8e507f553df7b44fee279e977477a08a8bb8b08d491668310085e1a92e
rclone-v1.62.1-linux-mips.zip,rclone,v1.62.1,linux,mips,2f2895a35c615c3425965d90185efb207c7f71dc,7a029f256fc6849538e6b849389d12c23490e0dd3b465043e65d4bb1767c0b77,e9f8932aa1e1f5a015c54c9b0d12dc66f11686e2,31de3e8e507f553df7b44fee279e977477a08a8bb8b08d491668310085e1a92e
rclone-v1.62.1-linux-mipsle.deb,rclone,v1.62.1,linux,mipsle,ec8b284e54fb60f1aab86fb1f7126a60732e6610,20354177c2ba7a7695f6a97a645b22834ee4e0a530717e9b787886d4f61fc291,9757f02c15a229b1a1103afe31c188daed55f29f,1d383ebebe8bb872f70e0b1402c603a2d2b40a9d519a64d2f601a9ba0dc3044c
rclone-v1.62.1-linux-mipsle.rpm,rclone,v1.62.1,linux,mipsle,7bc03391fbf6ec08742e227fd1a0cc525b42aadd,0ba22bd4f6df92dbc7692a669d8663300d99d7a74275903d3054c8a9fb4c6522,9757f02c15a229b1a1103afe31c188daed55f29f,1d383ebebe8bb872f70e0b1402c603a2d2b40a9d519a64d2f601a9ba0dc3044c
rclone-v1.62.1-linux-mipsle.zip,rclone,v1.62.1,linux,mipsle,fefb39de9617119c1b9962be4bc5eea8654f64de,aacdb96cbb0320757eab5b1dc37141365180a6f31743082174530577e8c1e9c9,9757f02c15a229b1a1103afe31c188daed55f29f,1d383ebebe8bb872f70e0b1402c603a2d2b40a9d519a64d2f601a9ba0dc3044c
rclone-v1.62.1-netbsd-386.zip,rclone,v1.62.1,netbsd,386,4b124cf0617c2f51a0c5590aae682e29f3a52383,0be41303879df031d5f222dad7db73011d7b3753a39840380211767037a8a310,9939f775f5464d6764628808f87a2bb79eae34ab,f17e7830fcfce669d1e5218d8915723af37515416f6715551924b8435aae3199
rclone-v1.62.1-netbsd-amd64.zip,rclone,v1.62.1,netbsd,amd64,ebabc240f2c3c6db093de201f5d609e39a294a06,b46470d77a056eff68316b87f51b4d1a50d6529393825d2690a3628d18054634,7d41fcb6c1c577ae7e3ec07a7f2890db5d5de8db,0b3f138b9f07d5d205d03db63d959168d484f309bf43d1b1740718ce4c7f2dd9
rclone-v1.62.1-netbsd-arm-v6.zip,rclone,v1.62.1,netbsd,arm-v6,f5098c76fb0f61f0186a0816e8a49a9597e6c8be,6b26959b03bef47449a97288ed0ca0e136d6308affa626496c9a04d9b7632a03,53d56a3e70159bfb72f80eb938303bf190c67714,359a832c0fe031e82e2fb4690f2ea84338bf7eee8adf9324e6f4b9a31df7eed9
rclone-v1.62.1-netbsd-arm-v7.zip,rclone,v1.62.1,netbsd,arm-v7,ff4044bbd8f466437fbe604f5cece6140bcbdd8b,e993520ee27c8050bb1ba0889edd66769181f966edbd48cd117ec13dbb60320f,d0c4a66aafcd35ccaa2c2c572b27a693290178fe,8cf933b2b1fd7fb27722b38b862d3a4aadfaaeb45a5186aa90e61c483e0b0fe1
rclone-v1.62.1-netbsd-arm.zip,rclone,v1.62.1,netbsd,arm,f5c87d33508c230a706d3f63697ebfb7e0c6aed4,be22845ceff07acc3ca02e9e24e1ff70fa71b6689f3f5a5ff4b38f43d4fd61e7,6ff7d848e5e46b98dc9b67b0adc1cc47a96c020d,fdbe50e7c4f533a045aabf10c78f74dfb978adb2e8585dd5bcb30d90c8249b95
rclone-v1.62.1-openbsd-386.zip,rclone,v1.62.1,openbsd,386,29433f005ca328e5734d8cb59ddb9604f650bda2,045e70715b2261bdbc9e14332b0062b81b71d71a83bde714df7e3caa2615efdc,fb2e390364d41c20412e913f53419ce0b285d21b,be1d1415a0ce0ac1094f61098ea7622b3752fd0eb3882013b5c4b4d18e3f080f
rclone-v1.62.1-openbsd-amd64.zip,rclone,v1.62.1,openbsd,amd64,376164ad3ffbdbc40756c769d38004adf514f3e3,7395137f9c26a99367fec72c608e85b7fcc078aad85fa19f48a9debe6a2ffae9,f573afdff312e6f3b823c218b17f1ec51e009a09,e4407b376dce1a99e7a599642c40887ffd74c63b2c7fb097af29144672c070ec
rclone-v1.62.1-osx-amd64.zip,rclone,v1.62.1,osx,amd64,31b288378ec989252576fc24efefeb23af995079,0df7fda080a85036256bf9916737f16ba70a61f60f7e94127a5a37da4de93e14,47174105849db26845d5b84aeaba00b433c04301,569767fc0e8fc153a5eb8a602e89c27ee6ec08fc1fb2c828723e7e922d0d6ef4
rclone-v1.62.1-osx-arm64.zip,rclone,v1.62.1,osx,arm64,2a5a2d943b10ee5f123db09addb9cc2b43ca24ab,94c211a1a14f81bdc2ec004ff3a433ad860520c731ac54ddf38435e2512cba4b,f9df3fb93cc4aeb316ea9fedcce972a890c8d190,54b2c305fb8ccc6fbef2a16ffc62f02c8de160aeff60784c15c5ca23f1da7ed7
rclone-v1.62.1-plan9-386.zip,rclone,v1.62.1,plan9,386,87836d0152d38890b2159e1945e450c99b4ecd00,87a2fcc9f478c587a81b872f0943a0a280b6c663bb56222131c8b685f14ee1f2,0bf3315a47d14a36742c8ace2de1654743cd8b68,067b4db9bef748b89d906f2e1bbed96ea581e98c03c057942ccf5e28812d4a64
rclone-v1.62.1-plan9-amd64.zip,rclone,v1.62.1,plan9,amd64,66c8ca2035a94269a0a8f7df84c373bcf7d1eb5a,49f65f132fc76bb1eeebe13b06b87de99018be5be3cc8873af778359d17756c3,0818a40048ddd64e1485ecf64e87a00f97c6131c,85f0bca940327340817b89f571cea50e57f3500384d10725290443ca78622454
rclone-v1.62.1-solaris-amd64.zip,rclone,v1.62.1,solaris,amd64,4f42b8b37cf87a076b439b36718a5725669e7943,302d86070ce4c463d98f5217f85e9fa79b798d80948097d6847d38813a44a769,7726aff6a4d4e1fa44879efed2731b6e611e4f69,e0f17302eae335c9b45707037e7ae482f6ba1c0bc10aec6560186551f91f6102
rclone-v1.62.1-windows-386.zip,rclone.exe,v1.62.1,windows,386,2c3997eb17335121f3e6869fae6ba2f97670241a,b1e6103ec1b2468d5ec2f2367897f7cc20bbc9256af81b699e8d138aeb1267c6,045f42dc876fd06111490b4a5018b9d7fe7ba640,641a4d621cdb28de417e9889727d82cd596ad205129a55ef8d15754d198b0940
